DataTime,t_Envir,t_Request_AntColumn,t_Exit_AntColumn,t_Probe_AntColumn,t_Request_PostColumn,t_Exit_PostColumn,t_Probe_PostColumn,t_Request_Pallet_CU,t_Exit_Pallet_CU,t_Probe_Pallet_CU,t_Request_Pallet_QE,t_Exit_Pallet_QE,t_Probe_Pallet_QE
2021-07-05 14:37:34,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:37:35,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:37:38,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:37:48,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:37:49,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:37:49,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:37:50,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:37:50,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:37:51,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:37:52,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:37:53,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:19,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:21,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:21,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:22,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:22,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:23,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:23,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:23,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:23,25.6,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:24,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:24,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:25,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:25,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:28,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:28,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:28,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:29,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:29,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:29,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:29,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:30,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:30,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:30,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:31,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:31,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:31,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:31,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:32,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:32,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:32,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:32,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:33,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:33,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:33,25.7,20,20,22,20,20,20,20,20,22,20,20,23
2021-07-05 14:38:33,25.7,20,20,22,20,20,20,20,20,22,20,20,23
