NR,air_hour,DataTime
1711,2,09:52:01 26.09.2020
1712,2,10:52:01 26.09.2020
1713,2,11:52:01 26.09.2020
1714,1,12:52:01 26.09.2020
1715,1,13:52:01 26.09.2020
1716,1,14:52:01 26.09.2020
1717,1,15:52:01 26.09.2020
1718,1,16:52:01 26.09.2020
1719,1,17:52:01 26.09.2020
1720,1,18:52:01 26.09.2020
1721,1,19:52:01 26.09.2020
1722,1,20:52:01 26.09.2020
1723,1,21:52:01 26.09.2020
1724,1,22:52:01 26.09.2020
1725,2,23:52:01 26.09.2020
1726,2,00:52:01 27.09.2020
1727,1,01:52:01 27.09.2020
1728,2,02:52:01 27.09.2020
1729,2,03:52:01 27.09.2020
1730,2,04:52:01 27.09.2020
1731,2,05:52:01 27.09.2020
1732,2,06:52:01 27.09.2020
1733,2,07:52:01 27.09.2020
1734,2,08:52:01 27.09.2020
1735,2,09:52:01 27.09.2020
1736,2,10:52:01 27.09.2020
1737,2,11:52:01 27.09.2020
1738,2,12:52:01 27.09.2020
1739,2,13:52:01 27.09.2020
1740,2,14:52:01 27.09.2020
1741,2,15:52:01 27.09.2020
1742,2,16:52:01 27.09.2020
1743,2,17:52:01 27.09.2020
1744,2,18:52:01 27.09.2020
1745,2,19:52:01 27.09.2020
1746,2,20:52:01 27.09.2020
1747,2,21:52:01 27.09.2020
1748,2,22:52:01 27.09.2020
1749,2,23:52:01 27.09.2020
1750,2,00:52:01 28.09.2020
1751,2,01:52:01 28.09.2020
1752,2,02:52:01 28.09.2020
1753,2,03:52:01 28.09.2020
1754,2,04:52:01 28.09.2020
1755,2,05:52:01 28.09.2020
1756,2,06:52:01 28.09.2020
1757,834,07:52:01 28.09.2020
1758,798,08:52:01 28.09.2020
1759,817,09:56:01 28.09.2020
1760,657,10:56:01 28.09.2020
1761,657,11:56:01 28.09.2020
1762,36,12:56:01 28.09.2020
1763,648,13:56:01 28.09.2020
1764,819,14:56:01 28.09.2020
1765,649,15:56:01 28.09.2020
1766,828,16:56:01 28.09.2020
1767,862,17:56:01 28.09.2020
1768,822,18:56:01 28.09.2020
1769,860,19:56:01 28.09.2020
1770,817,20:56:01 28.09.2020
1771,963,21:56:01 28.09.2020
1772,962,22:56:01 28.09.2020
1773,941,23:56:01 28.09.2020
1774,812,00:56:01 29.09.2020
1775,1268,01:56:01 29.09.2020
1776,828,02:56:01 29.09.2020
1777,878,03:56:01 29.09.2020
1778,668,04:56:01 29.09.2020
1779,997,05:56:01 29.09.2020
1780,647,06:56:01 29.09.2020
1781,653,07:56:01 29.09.2020
1782,813,08:56:01 29.09.2020
1783,817,10:22:01 29.09.2020
1784,934,11:22:01 29.09.2020
1785,648,12:22:01 29.09.2020
1786,654,13:22:01 29.09.2020
1787,658,14:23:01 29.09.2020
1788,642,15:23:01 29.09.2020
1789,813,16:23:01 29.09.2020
1790,34,17:23:01 29.09.2020
1791,34,18:23:01 29.09.2020
1792,34,19:23:01 29.09.2020
1793,34,20:23:01 29.09.2020
1794,34,21:23:01 29.09.2020
1795,34,22:23:01 29.09.2020
1796,34,23:23:01 29.09.2020
1797,34,00:23:01 30.09.2020
1798,34,01:23:01 30.09.2020
1799,34,02:23:01 30.09.2020
1800,36,03:23:01 30.09.2020
1801,35,04:23:01 30.09.2020
1802,35,05:23:01 30.09.2020
1803,35,06:23:01 30.09.2020
1804,35,07:23:01 30.09.2020
1805,816,08:23:01 30.09.2020
1806,876,09:23:01 30.09.2020
1807,813,10:23:01 30.09.2020
1808,838,11:23:01 30.09.2020
1809,34,12:23:01 30.09.2020
1810,843,13:23:01 30.09.2020
1811,644,14:23:01 30.09.2020
1812,651,15:23:01 30.09.2020
1813,648,16:23:01 30.09.2020
1814,34,17:23:01 30.09.2020
1815,33,18:23:01 30.09.2020
1816,33,19:23:01 30.09.2020
1817,34,20:23:01 30.09.2020
1818,34,21:23:01 30.09.2020
1819,34,22:23:01 30.09.2020
1820,34,23:23:01 30.09.2020
1821,34,00:23:01 01.10.2020
1822,34,01:23:01 01.10.2020
1823,34,02:23:01 01.10.2020
1824,34,03:23:01 01.10.2020
1825,34,04:23:01 01.10.2020
1826,34,05:23:01 01.10.2020
1827,34,06:23:01 01.10.2020
1828,34,07:23:01 01.10.2020
1829,799,08:23:01 01.10.2020
1830,645,09:23:01 01.10.2020
1831,903,10:23:01 01.10.2020
1832,810,11:23:01 01.10.2020
1833,638,12:23:01 01.10.2020
1834,1559,13:23:01 01.10.2020
1835,665,14:23:01 01.10.2020
1836,818,15:23:01 01.10.2020
1837,842,16:23:01 01.10.2020
1838,34,17:23:01 01.10.2020
1839,33,18:23:01 01.10.2020
1840,33,19:23:01 01.10.2020
1841,33,20:23:01 01.10.2020
1842,33,21:23:01 01.10.2020
1843,33,22:23:01 01.10.2020
1844,34,23:23:01 01.10.2020
1845,34,00:23:01 02.10.2020
1846,33,01:23:01 02.10.2020
1847,34,02:23:01 02.10.2020
1848,34,03:23:01 02.10.2020
1849,34,04:23:01 02.10.2020
1850,34,05:23:01 02.10.2020
1851,34,06:23:01 02.10.2020
1852,34,07:23:01 02.10.2020
1853,820,08:23:01 02.10.2020
1854,656,09:23:01 02.10.2020
1855,1154,10:23:01 02.10.2020
1856,638,11:23:01 02.10.2020
1857,33,12:23:01 02.10.2020
1858,811,13:23:01 02.10.2020
1859,1180,14:23:01 02.10.2020
1860,771,15:23:01 02.10.2020
1861,1090,16:23:01 02.10.2020
1862,647,17:24:01 02.10.2020
1863,215,18:24:01 02.10.2020
1864,1,19:24:01 02.10.2020
1865,1,20:24:01 02.10.2020
1866,1,21:24:01 02.10.2020
1867,1,22:24:01 02.10.2020
1868,1,23:24:01 02.10.2020
1869,1,00:24:01 03.10.2020
1870,1,01:24:01 03.10.2020
1871,1,02:24:01 03.10.2020
1872,1,03:24:01 03.10.2020
1873,1,04:24:01 03.10.2020
1874,1,05:24:01 03.10.2020
1875,1,06:24:01 03.10.2020
1876,1,07:24:01 03.10.2020
1877,1,08:24:01 03.10.2020
1878,1,09:24:01 03.10.2020
1879,1,10:24:01 03.10.2020
1880,1,11:24:01 03.10.2020
1881,1,12:24:01 03.10.2020
1882,1,13:24:01 03.10.2020
1883,1,14:24:01 03.10.2020
1884,1,15:24:01 03.10.2020
1885,1,16:24:01 03.10.2020
1886,1,17:24:01 03.10.2020
1887,1,18:24:01 03.10.2020
1888,1,19:24:01 03.10.2020
1889,1,20:24:01 03.10.2020
1890,1,21:24:01 03.10.2020
1891,1,22:24:01 03.10.2020
1892,1,23:24:01 03.10.2020
1893,1,00:24:01 04.10.2020
1894,1,01:24:01 04.10.2020
1895,1,02:24:01 04.10.2020
1896,1,03:24:01 04.10.2020
1897,1,04:24:01 04.10.2020
1898,1,05:24:01 04.10.2020
1899,2,06:24:01 04.10.2020
1900,2,07:24:01 04.10.2020
1901,1,08:24:01 04.10.2020
1902,2,09:24:01 04.10.2020
1903,1,10:24:01 04.10.2020
1904,1,11:24:01 04.10.2020
1905,1,12:24:01 04.10.2020
1906,1,13:24:01 04.10.2020
1907,1,14:24:01 04.10.2020
1908,1,15:24:01 04.10.2020
1909,1,16:24:01 04.10.2020
1910,1,17:24:01 04.10.2020
1911,1,18:24:01 04.10.2020
1912,1,19:24:01 04.10.2020
1913,1,20:24:01 04.10.2020
1914,1,21:24:01 04.10.2020
1915,1,22:24:01 04.10.2020
1916,1,23:24:01 04.10.2020
1917,1,00:24:01 05.10.2020
1918,1,01:24:01 05.10.2020
1919,1,02:24:01 05.10.2020
1920,1,03:24:01 05.10.2020
1921,2,04:24:01 05.10.2020
1922,1,05:24:01 05.10.2020
1923,1,06:24:01 05.10.2020
1924,646,07:24:01 05.10.2020
1925,666,08:26:01 05.10.2020
1926,813,09:29:01 05.10.2020
1927,1237,10:29:01 05.10.2020
1928,829,11:29:01 05.10.2020
1929,649,12:29:01 05.10.2020
1930,652,13:29:01 05.10.2020
1931,648,14:29:01 05.10.2020
1932,805,15:29:01 05.10.2020
1933,648,16:29:01 05.10.2020
1934,35,17:29:01 05.10.2020
1935,34,18:29:01 05.10.2020
1936,35,19:29:01 05.10.2020
1937,35,20:29:01 05.10.2020
1938,35,21:29:01 05.10.2020
1939,35,22:29:01 05.10.2020
1940,35,23:29:01 05.10.2020
1941,36,00:29:01 06.10.2020
1942,35,01:29:01 06.10.2020
1943,34,02:29:01 06.10.2020
1944,36,03:29:01 06.10.2020
1945,37,04:29:01 06.10.2020
1946,35,05:29:01 06.10.2020
1947,37,06:29:01 06.10.2020
1948,37,07:29:01 06.10.2020
1949,654,08:29:01 06.10.2020
1950,615,09:29:01 06.10.2020
1951,1277,10:29:01 06.10.2020
1952,658,11:32:01 06.10.2020
1953,35,12:32:01 06.10.2020
1954,648,13:32:01 06.10.2020
1955,1261,14:32:01 06.10.2020
1956,794,15:32:01 06.10.2020
1957,1104,16:32:01 06.10.2020
1958,33,17:32:01 06.10.2020
1959,35,18:32:01 06.10.2020
1960,34,19:32:01 06.10.2020
1961,34,20:32:01 06.10.2020
1962,35,21:32:01 06.10.2020
1963,34,22:32:01 06.10.2020
1964,34,23:32:01 06.10.2020
1965,36,00:32:01 07.10.2020
1966,34,01:32:01 07.10.2020
1967,36,02:32:01 07.10.2020
1968,37,03:32:01 07.10.2020
1969,34,04:32:01 07.10.2020
1970,36,05:32:01 07.10.2020
1971,36,06:32:01 07.10.2020
1972,36,07:32:01 07.10.2020
1973,797,08:32:01 07.10.2020
1974,649,09:32:01 07.10.2020
1975,652,10:32:01 07.10.2020
1976,649,11:32:01 07.10.2020
1977,34,12:32:01 07.10.2020
1978,646,13:32:01 07.10.2020
1979,873,14:32:01 07.10.2020
1980,806,15:32:01 07.10.2020
1981,35,16:32:01 07.10.2020
1982,34,17:32:01 07.10.2020
1983,34,18:32:01 07.10.2020
1984,34,19:32:01 07.10.2020
1985,34,20:32:01 07.10.2020
1986,34,21:32:01 07.10.2020
1987,34,22:32:01 07.10.2020
1988,36,23:32:01 07.10.2020
1989,36,00:32:01 08.10.2020
1990,34,01:32:01 08.10.2020
1991,36,02:32:01 08.10.2020
1992,36,03:32:01 08.10.2020
1993,36,04:32:01 08.10.2020
1994,36,05:32:01 08.10.2020
1995,36,06:32:01 08.10.2020
1996,36,07:32:01 08.10.2020
1997,855,08:32:01 08.10.2020
1998,833,09:32:01 08.10.2020
1999,813,10:32:01 08.10.2020
2000,804,11:32:01 08.10.2020
2001,653,12:32:01 08.10.2020
2002,812,13:32:01 08.10.2020
2003,815,14:32:01 08.10.2020
2004,623,15:32:01 08.10.2020
2005,1,16:33:01 08.10.2020
2006,32,17:33:01 08.10.2020
2007,33,18:33:01 08.10.2020
2008,33,19:33:01 08.10.2020
2009,33,20:33:01 08.10.2020
2010,34,21:33:01 08.10.2020
2011,34,22:33:01 08.10.2020
2012,34,23:33:01 08.10.2020
2013,34,00:33:01 09.10.2020
2014,34,01:33:01 09.10.2020
2015,34,02:33:01 09.10.2020
2016,34,03:33:01 09.10.2020
2017,34,04:33:01 09.10.2020
2018,35,05:33:01 09.10.2020
2019,35,06:33:01 09.10.2020
2020,36,07:33:01 09.10.2020
2021,648,08:34:01 09.10.2020
2022,645,09:34:01 09.10.2020
2023,712,10:35:01 09.10.2020
2024,648,11:35:01 09.10.2020
2025,648,12:35:01 09.10.2020
2026,902,13:35:01 09.10.2020
2027,812,14:35:01 09.10.2020
2028,865,15:35:01 09.10.2020
2029,35,16:35:01 09.10.2020
2030,35,17:35:01 09.10.2020
2031,1,18:35:01 09.10.2020
2032,1,19:35:01 09.10.2020
2033,2,20:35:01 09.10.2020
2034,2,21:35:01 09.10.2020
2035,2,22:35:01 09.10.2020
2036,2,23:35:01 09.10.2020
2037,2,00:35:01 10.10.2020
2038,2,01:35:01 10.10.2020
2039,2,02:35:01 10.10.2020
2040,2,03:35:01 10.10.2020
2041,2,04:35:01 10.10.2020
2042,2,05:35:01 10.10.2020
2043,2,06:35:01 10.10.2020
2044,2,07:35:01 10.10.2020
2045,2,08:35:01 10.10.2020
2046,2,09:35:01 10.10.2020
2047,2,10:35:01 10.10.2020
2048,2,11:35:01 10.10.2020
2049,2,12:35:01 10.10.2020
2050,2,13:35:01 10.10.2020
2051,1,14:35:01 10.10.2020
2052,1,15:35:01 10.10.2020
2053,2,16:35:01 10.10.2020
2054,1,17:35:01 10.10.2020
2055,2,18:35:01 10.10.2020
2056,2,19:35:01 10.10.2020
2057,2,20:35:01 10.10.2020
2058,1,21:35:01 10.10.2020
2059,1,22:35:01 10.10.2020
2060,2,23:35:01 10.10.2020
2061,2,00:35:01 11.10.2020
2062,2,01:35:01 11.10.2020
2063,2,02:35:01 11.10.2020
2064,2,03:35:01 11.10.2020
2065,2,04:35:01 11.10.2020
2066,2,05:35:01 11.10.2020
2067,2,06:35:01 11.10.2020
2068,2,07:35:01 11.10.2020
2069,2,08:35:01 11.10.2020
2070,2,09:35:01 11.10.2020
2071,2,10:35:01 11.10.2020
2072,2,11:35:01 11.10.2020
2073,2,12:35:01 11.10.2020
2074,2,13:35:01 11.10.2020
2075,2,14:35:01 11.10.2020
2076,2,15:35:01 11.10.2020
2077,2,16:35:01 11.10.2020
2078,2,17:35:01 11.10.2020
2079,2,18:35:01 11.10.2020
2080,2,19:35:01 11.10.2020
2081,2,20:35:01 11.10.2020
2082,2,21:35:01 11.10.2020
2083,2,22:35:01 11.10.2020
2084,2,23:35:01 11.10.2020
2085,2,00:35:01 12.10.2020
2086,2,01:35:01 12.10.2020
2087,2,02:35:01 12.10.2020
2088,2,03:35:01 12.10.2020
2089,2,04:35:01 12.10.2020
2090,2,05:35:01 12.10.2020
2091,2,06:35:01 12.10.2020
2092,653,07:35:01 12.10.2020
2093,821,08:36:01 12.10.2020
2094,1190,09:36:01 12.10.2020
2095,818,10:36:01 12.10.2020
2096,1232,11:36:01 12.10.2020
2097,648,12:36:01 12.10.2020
2098,630,13:36:01 12.10.2020
2099,818,14:36:01 12.10.2020
2100,1247,15:36:01 12.10.2020
2101,37,16:36:01 12.10.2020
2102,36,17:36:01 12.10.2020
2103,37,18:36:01 12.10.2020
2104,34,19:36:01 12.10.2020
2105,37,20:36:01 12.10.2020
2106,37,21:36:01 12.10.2020
2107,37,22:36:01 12.10.2020
2108,37,23:36:01 12.10.2020
2109,37,00:36:01 13.10.2020
2110,37,01:36:01 13.10.2020
2111,37,02:36:01 13.10.2020
2112,38,03:36:01 13.10.2020
2113,38,04:36:01 13.10.2020
2114,38,05:36:01 13.10.2020
2115,38,06:36:01 13.10.2020
2116,661,07:37:01 13.10.2020
2117,141,08:37:01 13.10.2020
2118,1319,09:42:01 13.10.2020
2119,814,10:42:01 13.10.2020
2120,652,11:48:01 13.10.2020
2121,653,12:49:01 13.10.2020
2122,648,13:49:01 13.10.2020
2123,818,14:49:01 13.10.2020
2124,666,15:56:01 13.10.2020
2125,650,16:56:01 13.10.2020
2126,34,17:56:01 13.10.2020
2127,35,18:56:01 13.10.2020
2128,36,19:56:01 13.10.2020
2129,37,20:56:01 13.10.2020
2130,37,21:56:01 13.10.2020
2131,37,22:56:01 13.10.2020
2132,37,23:56:01 13.10.2020
2133,37,00:56:01 14.10.2020
2134,39,01:56:01 14.10.2020
2135,37,02:56:01 14.10.2020
2136,38,03:56:01 14.10.2020
2137,37,04:56:01 14.10.2020
2138,38,05:56:01 14.10.2020
2139,39,06:56:01 14.10.2020
2140,655,07:56:01 14.10.2020
2141,657,08:57:01 14.10.2020
2142,993,09:57:01 14.10.2020
2143,842,10:57:01 14.10.2020
2144,1024,11:57:01 14.10.2020
2145,657,12:57:01 14.10.2020
2146,854,13:57:01 14.10.2020
2147,834,14:57:01 14.10.2020
2148,712,15:57:01 14.10.2020
2149,37,16:57:01 14.10.2020
2150,36,17:57:01 14.10.2020
2151,37,18:57:01 14.10.2020
2152,37,19:57:01 14.10.2020
2153,37,20:57:01 14.10.2020
2154,37,21:57:01 14.10.2020
2155,37,22:57:01 14.10.2020
2156,36,23:57:01 14.10.2020
2157,37,00:57:01 15.10.2020
2158,37,01:57:01 15.10.2020
2159,37,02:57:01 15.10.2020
2160,36,03:57:01 15.10.2020
2161,38,04:57:01 15.10.2020
2162,36,05:57:01 15.10.2020
2163,36,06:57:01 15.10.2020
2164,832,07:57:01 15.10.2020
2165,818,08:57:01 15.10.2020
2166,834,09:57:01 15.10.2020
2167,649,10:57:01 15.10.2020
2168,845,11:57:01 15.10.2020
2169,647,12:57:01 15.10.2020
2170,732,13:57:01 15.10.2020
2171,638,14:57:01 15.10.2020
2172,843,15:57:01 15.10.2020
2173,646,16:57:01 15.10.2020
2174,37,17:57:01 15.10.2020
2175,37,18:57:01 15.10.2020
2176,36,19:57:01 15.10.2020
2177,37,20:57:01 15.10.2020
2178,37,21:57:01 15.10.2020
2179,37,22:57:01 15.10.2020
2180,37,23:57:01 15.10.2020
2181,38,00:57:01 16.10.2020
2182,37,01:57:01 16.10.2020
2183,37,02:57:01 16.10.2020
2184,37,03:57:01 16.10.2020
2185,38,04:57:01 16.10.2020
2186,37,05:57:01 16.10.2020
2187,39,06:57:01 16.10.2020
2188,824,07:57:01 16.10.2020
2189,650,08:57:01 16.10.2020
2190,672,09:57:01 16.10.2020
2191,650,10:57:01 16.10.2020
2192,841,11:58:01 16.10.2020
2193,839,12:58:01 16.10.2020
2194,832,13:58:01 16.10.2020
2195,815,14:58:01 16.10.2020
2196,776,15:58:01 16.10.2020
2197,34,16:58:01 16.10.2020
2198,34,17:58:01 16.10.2020
2199,37,18:58:01 16.10.2020
2200,36,19:58:01 16.10.2020
2201,34,20:58:01 16.10.2020
2202,36,21:58:01 16.10.2020
2203,37,22:58:01 16.10.2020
2204,35,23:58:01 16.10.2020
2205,38,00:58:01 17.10.2020
2206,37,01:58:01 17.10.2020
2207,36,02:58:01 17.10.2020
2208,37,03:58:01 17.10.2020
2209,38,04:58:01 17.10.2020
2210,36,05:58:01 17.10.2020
2211,38,06:58:01 17.10.2020
2212,40,07:58:01 17.10.2020
2213,39,08:58:01 17.10.2020
2214,37,09:58:01 17.10.2020
2215,38,10:58:01 17.10.2020
2216,36,11:58:01 17.10.2020
2217,40,12:58:01 17.10.2020
2218,36,13:58:01 17.10.2020
2219,36,14:58:01 17.10.2020
2220,37,15:58:01 17.10.2020
2221,35,16:58:01 17.10.2020
2222,37,17:58:01 17.10.2020
2223,35,18:58:01 17.10.2020
2224,36,19:58:01 17.10.2020
2225,37,20:58:01 17.10.2020
2226,38,21:58:01 17.10.2020
2227,36,22:58:01 17.10.2020
2228,38,23:58:01 17.10.2020
2229,36,00:58:01 18.10.2020
2230,38,01:58:01 18.10.2020
2231,38,02:58:01 18.10.2020
2232,39,03:58:01 18.10.2020
2233,40,04:58:01 18.10.2020
2234,38,05:58:01 18.10.2020
2235,40,06:58:01 18.10.2020
2236,37,07:58:01 18.10.2020
2237,38,08:58:01 18.10.2020
2238,39,09:58:01 18.10.2020
2239,37,10:58:01 18.10.2020
2240,37,11:58:01 18.10.2020
2241,36,12:58:01 18.10.2020
2242,37,13:58:01 18.10.2020
2243,35,14:58:01 18.10.2020
2244,36,15:58:01 18.10.2020
2245,37,16:58:01 18.10.2020
2246,37,17:58:01 18.10.2020
2247,36,18:58:01 18.10.2020
2248,36,19:58:01 18.10.2020
2249,38,20:58:01 18.10.2020
2250,36,21:58:01 18.10.2020
2251,37,22:58:01 18.10.2020
2252,38,23:58:01 18.10.2020
2253,39,00:58:01 19.10.2020
2254,39,01:58:01 19.10.2020
2255,36,02:58:01 19.10.2020
2256,38,03:58:01 19.10.2020
2257,40,04:58:01 19.10.2020
2258,37,05:58:01 19.10.2020
2259,37,06:58:01 19.10.2020
2260,651,07:58:01 19.10.2020
2261,1183,08:58:01 19.10.2020
2262,829,09:58:01 19.10.2020
2263,1205,10:58:01 19.10.2020
2264,666,11:58:01 19.10.2020
2265,653,12:58:01 19.10.2020
2266,651,13:58:01 19.10.2020
2267,1220,14:58:01 19.10.2020
2268,657,15:58:01 19.10.2020
2269,2030,16:58:01 19.10.2020
2270,35,17:58:01 19.10.2020
2271,35,18:58:01 19.10.2020
2272,34,19:58:01 19.10.2020
2273,35,20:58:01 19.10.2020
2274,36,21:58:01 19.10.2020
2275,36,22:58:01 19.10.2020
2276,36,23:58:01 19.10.2020
2277,36,00:58:01 20.10.2020
2278,37,01:58:01 20.10.2020
2279,37,02:58:01 20.10.2020
2280,37,03:58:01 20.10.2020
2281,37,04:58:01 20.10.2020
2282,37,05:58:01 20.10.2020
2283,37,06:58:01 20.10.2020
2284,661,07:58:01 20.10.2020
2285,643,08:58:01 20.10.2020
2286,828,09:58:01 20.10.2020
2287,651,10:58:01 20.10.2020
2288,657,11:58:01 20.10.2020
2289,657,12:58:01 20.10.2020
2290,1705,13:58:01 20.10.2020
2291,1272,14:58:01 20.10.2020
2292,609,15:58:01 20.10.2020
2293,34,16:58:01 20.10.2020
2294,34,17:58:01 20.10.2020
2295,34,18:58:01 20.10.2020
2296,35,19:58:01 20.10.2020
2297,34,20:58:01 20.10.2020
2298,36,21:58:01 20.10.2020
2299,36,22:58:01 20.10.2020
2300,36,23:58:01 20.10.2020
2301,36,00:58:01 21.10.2020
2302,36,01:58:01 21.10.2020
2303,36,02:58:01 21.10.2020
2304,36,03:58:01 21.10.2020
2305,35,04:58:01 21.10.2020
2306,36,05:58:01 21.10.2020
2307,37,06:58:01 21.10.2020
2308,821,07:59:01 21.10.2020
2309,1053,08:59:01 21.10.2020
2310,816,09:59:01 21.10.2020
2311,86,11:00:01 21.10.2020
2312,828,12:00:01 21.10.2020
2313,656,13:00:01 21.10.2020
2314,813,14:00:01 21.10.2020
2315,928,15:00:01 21.10.2020
2316,647,16:00:01 21.10.2020
2317,717,17:00:01 21.10.2020
2318,34,18:00:01 21.10.2020
2319,35,19:00:01 21.10.2020
2320,35,20:00:01 21.10.2020
2321,35,21:00:01 21.10.2020
2322,36,22:00:01 21.10.2020
2323,36,23:00:01 21.10.2020
2324,36,00:00:01 22.10.2020
2325,36,01:00:01 22.10.2020
2326,36,02:00:01 22.10.2020
2327,36,03:00:01 22.10.2020
2328,36,04:00:01 22.10.2020
2329,36,05:00:01 22.10.2020
2330,36,06:00:01 22.10.2020
2331,37,07:00:01 22.10.2020
2332,823,08:00:01 22.10.2020
2333,651,09:00:01 22.10.2020
2334,664,10:00:01 22.10.2020
2335,635,11:00:01 22.10.2020
2336,650,12:00:01 22.10.2020
2337,650,13:00:01 22.10.2020
2338,831,14:00:01 22.10.2020
2339,656,15:00:01 22.10.2020
2340,655,16:00:01 22.10.2020
2341,35,17:00:01 22.10.2020
2342,34,18:00:01 22.10.2020
2343,35,19:00:01 22.10.2020
2344,35,20:00:01 22.10.2020
2345,36,21:00:01 22.10.2020
2346,36,22:00:01 22.10.2020
2347,36,23:00:01 22.10.2020
2348,36,00:00:01 23.10.2020
2349,36,01:00:01 23.10.2020
2350,36,02:00:01 23.10.2020
2351,36,03:00:01 23.10.2020
2352,36,04:00:01 23.10.2020
2353,36,05:00:01 23.10.2020
2354,36,06:00:01 23.10.2020
2355,37,07:00:01 23.10.2020
2356,649,08:00:01 23.10.2020
2357,643,09:00:01 23.10.2020
2358,815,10:00:01 23.10.2020
2359,820,11:00:01 23.10.2020
2360,626,12:00:01 23.10.2020
2361,651,13:00:01 23.10.2020
2362,639,14:03:01 23.10.2020
2363,652,15:08:01 23.10.2020
2364,659,16:08:01 23.10.2020
2365,37,17:08:01 23.10.2020
2366,2,18:08:01 23.10.2020
2367,2,19:08:01 23.10.2020
2368,2,20:08:01 23.10.2020
2369,2,21:08:01 23.10.2020
2370,2,22:08:01 23.10.2020
2371,2,23:08:01 23.10.2020
2372,2,00:08:01 24.10.2020
2373,2,01:08:01 24.10.2020
2374,2,02:08:01 24.10.2020
2375,2,03:08:01 24.10.2020
2376,2,04:08:01 24.10.2020
2377,2,05:08:01 24.10.2020
2378,2,06:08:01 24.10.2020
2379,2,07:08:01 24.10.2020
2380,2,08:08:01 24.10.2020
2381,2,09:08:01 24.10.2020
2382,2,10:08:01 24.10.2020
2383,2,11:08:01 24.10.2020
2384,2,12:08:01 24.10.2020
2385,2,13:08:01 24.10.2020
2386,2,14:08:01 24.10.2020
2387,2,15:08:01 24.10.2020
2388,2,16:08:01 24.10.2020
2389,2,17:08:01 24.10.2020
2390,2,18:08:01 24.10.2020
2391,2,19:08:01 24.10.2020
2392,2,20:08:01 24.10.2020
2393,2,21:08:01 24.10.2020
2394,2,22:08:01 24.10.2020
2395,2,23:08:01 24.10.2020
2396,2,00:08:01 25.10.2020
2397,2,01:08:01 25.10.2020
2398,2,02:08:01 25.10.2020
2399,2,02:08:01 25.10.2020
2400,2,03:08:01 25.10.2020
2401,2,04:08:01 25.10.2020
2402,2,05:08:01 25.10.2020
2403,2,06:08:01 25.10.2020
2404,2,07:08:01 25.10.2020
2405,2,08:08:01 25.10.2020
2406,2,09:08:01 25.10.2020
2407,2,10:08:01 25.10.2020
2408,2,11:08:01 25.10.2020
2409,2,12:08:01 25.10.2020
2410,2,13:08:01 25.10.2020
2411,1,14:08:01 25.10.2020
2412,1,15:08:01 25.10.2020
2413,1,16:08:01 25.10.2020
2414,2,17:08:01 25.10.2020
2415,2,18:08:01 25.10.2020
2416,2,19:08:01 25.10.2020
2417,2,20:08:01 25.10.2020
2418,2,21:08:01 25.10.2020
2419,2,22:08:01 25.10.2020
2420,2,23:08:01 25.10.2020
2421,2,00:08:01 26.10.2020
2422,2,01:08:01 26.10.2020
2423,2,02:08:01 26.10.2020
2424,2,03:08:01 26.10.2020
2425,2,04:08:01 26.10.2020
2426,2,05:08:01 26.10.2020
2427,2,06:08:01 26.10.2020
2428,37,07:08:01 26.10.2020
2429,831,08:19:01 26.10.2020
2430,818,09:19:01 26.10.2020
2431,1284,10:19:01 26.10.2020
2432,823,11:19:01 26.10.2020
2433,1125,12:19:01 26.10.2020
2434,720,13:19:01 26.10.2020
2435,1461,14:19:01 26.10.2020
2436,780,15:19:01 26.10.2020
2437,1248,16:20:01 26.10.2020
2438,34,17:20:01 26.10.2020
2439,35,18:20:01 26.10.2020
2440,35,19:20:01 26.10.2020
2441,36,20:20:01 26.10.2020
2442,36,21:20:01 26.10.2020
2443,36,22:20:01 26.10.2020
2444,34,23:20:01 26.10.2020
2445,34,00:20:01 27.10.2020
2446,37,01:20:01 27.10.2020
2447,36,02:20:01 27.10.2020
2448,34,03:20:01 27.10.2020
2449,37,04:20:01 27.10.2020
2450,37,05:20:01 27.10.2020
2451,35,06:20:01 27.10.2020
2452,37,07:20:01 27.10.2020
2453,650,08:20:01 27.10.2020
2454,809,09:20:01 27.10.2020
2455,1195,10:20:01 27.10.2020
2456,860,11:20:01 27.10.2020
2457,1018,12:20:01 27.10.2020
2458,640,13:20:01 27.10.2020
2459,1203,14:20:01 27.10.2020
2460,808,15:20:01 27.10.2020
2461,1202,16:20:01 27.10.2020
2462,35,17:20:01 27.10.2020
2463,34,18:20:01 27.10.2020
2464,35,19:20:01 27.10.2020
2465,35,20:20:01 27.10.2020
2466,35,21:20:01 27.10.2020
2467,36,22:20:01 27.10.2020
2468,36,23:20:01 27.10.2020
2469,36,00:20:01 28.10.2020
2470,36,01:20:01 28.10.2020
2471,36,02:20:01 28.10.2020
2472,37,03:20:01 28.10.2020
2473,37,04:20:01 28.10.2020
2474,37,05:20:01 28.10.2020
2475,37,06:20:01 28.10.2020
2476,36,07:20:01 28.10.2020
2477,1260,08:20:01 28.10.2020
2478,825,09:20:01 28.10.2020
2479,1275,10:20:01 28.10.2020
2480,821,11:20:01 28.10.2020
2481,1103,12:20:01 28.10.2020
2482,642,13:21:01 28.10.2020
2483,645,14:21:01 28.10.2020
2484,816,15:21:01 28.10.2020
2485,1089,16:21:01 28.10.2020
